id_str,full_text
1.71634E+18,@Miduk17 Di dalam Politik dinasti politik itu ga ada apalagi Kalau Usia cawapres harus 40thn itu nama nya kemunduran 
1.71633E+18,@jokowi Politik dinasti? Kan nanti rakyat langsung yg bakal milih atau tidak memilih. Anda pak
1.71624E+18,Ternyata mereka semua berhenti berkomentar tentang DINASTI POLITIK.  Kenapa ? Untuk bisa dikatakan dinasti politik itu ada 2 syarat.   1. Seleksi dilakukan oleh Elit. 2. Pemilihan (Eleksi) dilakukan oleh Elit.  Jd klo rakyat yg milih
1.71623E+18,@m_nurfatoni @gibran_tweet politik dinasti
1.71622E+18,@PartaiSocmed @Dennysiregar7 Anak menantu jadi walikota pada bilang  yg milih kan rakyat
1.71616E+18,@ernestprakasa Kan yang milih rakyat juga tohh kalo gaada yang pilih gaakan jga ada politik dinasti sesimpel itu toh
1.71615E+18,@Fahrihamzah Sebenarnya tidak ada istilah politik dinasti di negara kita
1.71613E+18,"kalo prabowo menang wow banget sih nih rakyat indonesia mau maunya politik dinasti beneran ada. kalo ganjar menang lebih edan lagi bisa2nya masih milih anaknya nenek"" WKWK. kalo satu lagi sejauh ini isunya korupsi dan politik identitas"
1.71613E+18,dinasti politik itu bagaimana? pdhl secara langsung yang milih juga rakyat 🤭
1.71609E+18,Isu Dinasti Politik Trah Presiden Jokowi Mencuat
1.71609E+18,@BangPino__ Politik dinasti? 🤣yg milih aja rakyat
1.71609E+18,Prabowo Cinta Rakyat Isu Dinasti Politik Trah Presiden Jokowi Mencuat
1.71609E+18,Saat Pilwako Solo
1.71609E+18,@chandra_siap @detikcom Kok bisa politik dinasti? Kan nanti pemilu
1.71608E+18,@asumsico Selamat berkompetisi mase @gibran_tweet . Yang gasuka tinggal gausah pilih. Klo menang pun bukan politik dinasti karena rakyat langsung yg milih. Woles aja gausah pada kbakaran jenggot.
1.71606E+18,@romlipintar @yogaJFT96 @yunartowijaya Politik dinasti gimane? Yg milih ttp rakyat koq
1.71606E+18,@PartaiSocmed Politik dinasti adalah politik kerajaan Dipilih raja diganti jg sama raja Masih ingat pilitik dinasti banten? Yg milih rakyat Yg sengsara yg enak rakyat Kalo gak suka gak usah pilih Kok repot Yg menghujat karna bersebrangan dan takut kalah s
1.71599E+18,@kompascom Yup betul jawaban Kaesang.. klo yg milih presiden bs jd dinasti politik.. kan masyarat sendiri yg milih... Sama kayak presiden yg ngajuin partai tp klo TDK di pilih rakyat y gak bakal jd presiden
1.71597E+18,@Tweetone7 @Wandixxx69 @frdlh___ @gibran_tweet @PDI_Perjuangan @jokowi Begini kawan. Yg milih itu rakyat.. Lo pahami politik dinasti n nepotisme.. Klo nepotisme iya klo politik dinasti ya jelas gak ada.. Jgn bacot. Laporkan aja. Atau kalian hanya modal fr
1.71595E+18,@Dennysiregar7 Tidak ada politik dinasti di era pemilihan langsung... karena yg milih kan rakyat
1.71592E+18,@abu_waras Secara KK nya jg udh berbeda
1.71592E+18,@FyCrypto @kompascom Bukan nyalahin
1.71591E+18,@yunartowijaya Kn yg milih rakyat..apa salahnya...jmn pk harto yg milih orang dalam...itu dinamakan dinasti politik..
1.71572E+18,Dinasti politik bagaimana lah wong sekarang yg milih rakyat langsung kok?g lembaga survei g baser beras raskin kok sewotnya sekarang!!! kemarin anda pada kemana pas Gibran rencana mau nyalon Cawalkot??tidur kah kalian??🤔🤔🖌️🙇kok koar2 nya sekarang 🤣🤣🤣
1.71571E+18,@Uwaisalatas @democrazymedia Bukan politik dinasti kan nanti yg milih rakyat ...
1.71566E+18,@Fahrihamzah Baru jadi cawapres udah dibilang politik dinasti
1.71565E+18,@_nusaena @frdlh___ @gibran_tweet Kan yg dirubah syarat
1.71559E+18,@nabildetra @kompascom Emang guoblok kok Yg milih rakyat Yg nentuin rakyat Yg ngambil keputusan rakyat  Menggonggong dinasti politik  Satu kata untuk mereka GUOBLOK
1.7155E+18,@CNNIndonesia Politik dinasti itu ya sah secara hukum. Tp cacat secara logika. Bayangkan diantara ratusan juta rakyat indonesia kita dipaksa milih itu itu lagi.
1.71544E+18,@AfzanJf @kumparan itulah bodohnya Menggonggong dinasti politik sedangkan yg milih y rakyat bukan diwariskan..dinasti politik dimananya?  Kan tggl jgn pilih saja  Guoblok yg menggonggong dinasti politik
1.71539E+18,Jangan mau dibohongi sama [redacted] ttg politik dinasti. Yg nentuin calon bukan rakyat. Yg nentuin popularitas bukan melalui proses yg organik. Kita cuma disuruh milih apa yg dipilihin sama parpol &amp  sistem itu sendiri yg bikin kaderisasi rusak
1.71496E+18,Kenapa bisa disebut politik dinasti klo yg milih rakyat sendiri..🤔
1.71489E+18,"@dennyindrayana Heran sama orang yg heboh bilang Politik Dinasti"""
1.71452E+18,@andry19633 @RamliRizal Dinasti politik sebelum putusan MK sdh banyak contohnya di indonesia coba lihat di beberapa parpol dan kepala2 daerah. Jadi gak usah ribut
1.71449E+18,@strike_bravo_b @lunar_lioness @roan_gylberth tp ya om elektabilitas msh bisa dikejar ga sih. apalagi klo prab milih gibran yg nanti promosi penerus bpknya 
1.71445E+18,@venomousveina Politik dinasti terjadi yah karena rakyat yang milihnya juga. Kan kalo rakyat ga milih ga akan kepilih itu anak/cucu/menantu orang yang lagi/pernah berkuasa.
1.7143E+18,@blusteiry @PartaiSocmed bejir politik dinasti tuh ketika pa jokowi milih langsung anakny jadi pejabat
1.71424E+18,@GunRomli Yg milih rakyat tapi kenapa dibilang dinasti politik
1.71424E+18,Saya rasa politik dinasti itu seperti apa ci..la sekrang eranya demokrasi og masih aja ngomong politik dinasti.kan ada mekanisme pilihan rakyat y klo gk mau milih y monggo yg mau milih y monggo.kan gitu
1.71423E+18,@CttnDmkrs @karniilyas Sopo yg milih dia
1.71422E+18,Dengan lolosnya putusan MK
1.71422E+18,Kalau anda ga setuju Politik Dinasti
1.71417E+18,@PartaiSocmed Disini gua udah makin yakin pilpres ini bakal dicurangi hasilnya. Krn polemik MK ini harusnya bakal buat elektabilitas yg bersangkutan jeblok krn masayarakat geram liat politik dinasti
1.71412E+18,@kumparan @kumparanplus Orang bodoh yg menyebut dinasti politik @jokowi 
1.71411E+18,@detikcom mreka tau politik dinasti nggk ya? wong yg milih rakyat langsung
1.71411E+18,@catchmeupid Politik dinasti
1.71404E+18,@AlissaWahid @gibran_tweet @jokowi Kata nya yg milih kan tetep rakyat. Itu kan bukan politik dinasti
1.71401E+18,Dinasti itu tidak ada dalam demokrasi
1.71395E+18,@rayestu kalo masih milih si nganu jr
1.71393E+18,@PolJokesID @gibran_tweet @EmilDardak @Dennysiregar7 Dulu pas di bilang dinasti politik di bela
1.7139E+18,@sipalingmade Loh ini kan hasil demokrasi bkn dinasti politik
1.7138E+18,@rayasemesta23 @gibran_tweet Politik Dinasti apaan sih anj wkwk
1.71379E+18,@Dennysiregar7 Politik dinasti tahap 1 gagal oleh MK
1.71377E+18,@dennyindrayana bacot kwkwwk sakit hati ya lu
1.71377E+18,@Kanjeng2022 apa apa kok politik dinasti
1.71376E+18,"gabisa dibilang politik dinasti karena rakyat yang milih""  argumentasi tolol ala2 buzzer gini masi ae dipake"""
1.71375E+18,@Dennysiregar7 Siapa menghianati siapa ? Mau framing terus Politik dinasti
1.71373E+18,Dinasti Politik kalau ga ada rakyat yang milih susah
1.71373E+18,Pemilu 5tahun sekali dan dipilih langsung oleh Rakyat dan cuman bs terpilih 2x terus  msh Oon sih bilang Dinasti politik?? emang yg Milih cmn yg bilang Dinasti politik sj? apa Rkyt akan milih krn dish duit? dll?? wong Ketum @PDI_Perjuangan  tdk jd meski pernah RI_1 @jokowi
1.7137E+18,@Levyazlin @PartaiSocmed Politik dinasti apa bahayanya sih? Bukannya yang milih rakyat juga?
1.71368E+18,@Ahlikomik Ngomong dinasti politik tp ga paham faktanya
1.71355E+18,@RamliRizal Karena rakyat mayoritas yg milih presiden
1.71348E+18,@Dennysiregar7 Memang udh rusak demokrasi di nkri era skrg
1.71347E+18,@KitoPlg95013 @WagimanDeep212_ @pengarang_sajak Ya memang itu aja
1.71339E+18,@YosefArdi1 @valanchie @pengarang_sajak @kaesangp Lu tidak setuju y itu hak elu..   Tp Gibran
1.71301E+18,@UmarSyadatHsb__ Klo rakyat cerdas mereka g bkal pilih Prabowo Gibran knpa
1.71287E+18,@ekowboy2 @Fahrihamzah Politik dinasti peler lu korengan! Knp gak lu bikin hoax mesin KPU Pilkada njing? Nyali lu ciut mau nyalahin rakyat Solo
1.71283E+18,@RamliRizal Hilang akal sehat rakyat di nkri klo skrg milih calon politik dinasti/karbitan
1.71252E+18,@tvOneNews Bukan politik dinasti kalo yang milih rakyat🤭  Pertanyaan sederhana
1.71226E+18,"@Dennysiregar7 Kalau dilihat  aku rasa dinasti politik "" sudah ada dr jaman dulu. Cuma ada dinasti politik yg jd negatif karena cari untung dr uang rakyat / yg positif bisa menjalankan program dg lumayan baik &amp  ada terobosan jelas. Lgpun yg milih lgs "
1.71151E+18,@03__nakula Klo rakyat yg milih salah klo d sebut dinasti politik krn rakyat tau yg terbaik buat mereka
1.71139E+18,Yg mau Nyapres itu Prabowo
1.71048E+18,@PutraBachtiar9 @DiniHrdianti @jokowi Dinasti politik itu klo sanak sodaranya diangkat dan dipilih sendiri 
1.71013E+18,@ArifinSMSiregar @Dennysiregar7 Kalo mereke dijadikan pake SK Presiden baru namanya politik dinasti / nepotisme Lha bobi
1.70874E+18,Jika tdk ingin yg dianggap politik dinasti ya jgn dipilih donk pak... Klo rakyat mayoritas yg milih apakah jg bisa dianggap politik dinasti... klo rakyat menganggap dia mampu apakah dianggap politik dinasti. Hrsnya kita kritik DPR jgn sampai mandul utk mengawasi pemerintah.
1.70719E+18,@Umar_Hasibuan__ Blok yang milih itu RAKYAT !? NIE ORANG PASTI GAK BISA BEDAIN OPLAS AMA DIGEBUKIN
1.70658E+18,@narkosun @gibran_tweet @kaesangp ngatain dinasti politik itu ya aslinya salah
1.70656E+18,@Chamomileyz @tobiin @partai_hijau Bedalah. Dinasti politik itu kayak ketum partai nunjuk anaknya buat jadi ketum baru. Kalo walikota kan yg milih rakyat. Bukan presiden nunjuk anaknya kemudian anaknya jd walkot. Yg milih kan rakyat bukan presiden yg mili
1.69966E+18,@Okki_Sutanto Ini dia pemikiran usang. Dinasti poltik jaman kuno yg tidak berguna bagi bangsa dan negara. Tpi jaman skrng sudah beda bung. Meskipun itu dinasti politik. Klo ga bsa kerja. Ga ada hasil ya rakyat ga milih. Ayo perbarui pengetahuan dilapangan
1.69933E+18,Ah elah ada2 saja bajer partai penyefonk jokowi. Antitesis dinasti politik
1.69852E+18,@MelodiAsyik @Tan_Mar3M @DadangRusdi Nggak ada tu khianat2..Makanya jadi partai besar.. Jgn dinasti politik biar rakyat banyak milih.. Jd gak tergantung partai lIn
1.692E+18,"@yaniarsim Jaman now kok politik dinasti...la.wong yg milih rakyat....ya suka rakyat....piye to kowe.kie😃😃😃"""
1.69144E+18,@tvOneNews Guoblog sak emak buapaknya yg mampus itu si @RamliRizal ini. Dinasti politik itu jika orang tuanya yg nunjuk langsung tanpa proses pilihan dari rakyat/warga
1.69035E+18,@iskandarplenet @ch_chotimah2 @prabowo Rakyat hanya milih dari yang disodorkan partai coy. Btw perluas otakmu ya. Bukan dinasti ala kerajaan. Klo loe sempit pemahamannya kaya gitu ya ga bakal kena. Ini politik dinasti. Faham ya.
1.68964E+18,@amaludinmzr @tvOneNews Emangnya Gibran sama Tommy diangkat langsung oleh presiden Jokowi ya? Kan rakyat yg milih... Masih ada aja yg percaya dinasti politik
1.68676E+18,@Andikermit @Okki_Sutanto Sama seperti dinasti politik di daerah contoh Atut di Banten 
1.68663E+18,@valkyrie7650 @Andikermit @Okki_Sutanto Bener
1.68529E+18,@RizkiR4madani @ganjarpranowo @kaesangp Mau nyalon silahkan mas asal ada yang milih. Depok aman dan toleran
1.68434E+18,@04_zainal Sing panik sopo ? Silahkan kaesang nyalon jadi walikota depok. Asal ada yang mau milih saja. Rakyat jabar dan depok makmur
1.68434E+18,@BiLLRaY2019 Di jabar aman mas
1.67681E+18,@yaniarsim @PKSejahtera @kaesangp @Gamal_Albinsaid Dinasti politik lagi... yg akan milih rakyat koq... kalo gk suka yg jgn dipilih! Dr mana dinastinya?
1.67676E+18,@AndiSinulingga Politik orba?? Hehehhehehhe.... setiap insan yg punya qualifikasi dan sdh dibuktikan dgn dipilihnya oleh rakyat pemilih
1.67647E+18,Iya politik dinasti di era skrg kan (demokrasi yg benar bukan Orba apalagi Kerajaan) tergantung juga sama Rakyat yg Cerdas apa Bodoh
1.67621E+18,Lantas merusak demokrasi di bagian mananya? Toh tak ada yang dilanggar oleh mereka
1.67619E+18,Giliran Banten dibilang dinasti politik
1.67614E+18,@RamliRizal Yang milih rakyat Pak RamliRizal
1.6761E+18,anak mantan disamain sm yg lagi bkuasa @muchlis_ar 🤦🏻‍♀️  dinasti politik itu
1.67607E+18,@dennyindrayana Bibit dinasti politik sdh tersemai di partai Demokrat . Klo berkuasa berbahaya. Tapi tunggu dulu... rakyat milih gk?  Klo rakyat milih silakan saja.
1.67607E+18,@temponewsroom Dasar penulis bloon. Politik dinasti tu kalo anak atau keluarga dari presiden ditunjuk langsung sama presiden buat menduduki jabatan pemerintahan . kalo masih Ikut pilkada namanya yg milih rakyat. Bikin fitnah aja lu jadi penulis.
1.67552E+18,@temponewsroom Menjadi kepala daerah bukanlah dinasti politik.. krn dipilih rakyat.. kl rakyat gak suka ya gak usah milih... beda hal nya dgn menteri
1.6755E+18,@BuniYani Dinasti politik gimana? Kan yg milih Rakyat...trus menang juga engga pake jualan agama.. Jualan ayat dan mayat..  🤣🤣🤣.. Hahaha
1.67043E+18,@berlianidris Politik dinasti itu ketika Jokowi jadi kepala negara .terus anak nya di jadikan perdana menteri anak nya jadi gubernur dan seluruh keluarga nya dia yang nunjuk untuk di jadikan kepala negara daerah   Lah ini rakyat yang milih kok dinasti .ke
1.67019E+18,@Rizaldy_Hary @PartaiSocmed Ya misal parpol A
1.67007E+18,Saat Gibran ditanya soal politik dinasti dulu
1.66994E+18,Ya kan golongan mereka adalah manusia malas berfikir atau gak punya pikiran
1.66971E+18,@democrazymedia Ya sdh jlas lah min
1.6697E+18,@willsarana Klu mw tw soal dinasti politik
1.66954E+18,@dindrige @maxwalden_ Lah gw kan menjawab tuduhan dinasti politik..ya kembali ke pilihan rakyat..mau milih dia ga..
1.66911E+18,@sigitwid @kaesangp @psi_id ratu Atut juga yg milih rakyat tapi ttep disebut politik dinasti  banyak sebutan politik dinasti hasil demokrasi
1.66894E+18,@iwanfals Katanya dinasti politik... Katanya nepotisme...   Padahal itu kan demokrasi.. yg milih rakyat.  Partai juga bukan milik keluarganya.  Bagaimana pendapat Bang @iwanfals ?
1.66888E+18,@pencinta_ikan22 @republikaonline @kaesangp Yg milih kan rakyat knpa d bilang politik dinasti  wkwk mikir drunn 
1.66881E+18,@republikaonline Semua WNI berhak untuk mencalonkan dirinya untuk menjadi pemimpin di negeri ini ( yg milih rakyat) 
1.6679E+18,@YanHarahap Dinasti politik itu seperti Demokrat
1.66754E+18,@bonjurno31 @akhirpekann @inilahdotcom @jokowi @kaesangp emang gw kapan pernah bilang banten politik dinasti? itu terserah rakyat bamtrn lah mo milih pemimpinnya kek apa
1.6656E+18,@arkaatmaja7 @endonesa345 @editya77 @HusinShihab @kaesangp @psi_id Politik dinasti? Ini kan pemilihan umum
1.66406E+18,Politik dinasti itu kalo ditunjuk oleh keluarganya yg berkuasa.... Kalo rakyat yg milih... secara sah oleh konstitusi dan demokrasi . Ga ada yg salah..... yg jelas dalam hal ini ada yg ketakutan dari partai turun temurun berkuasa disana tanpa kemajuan apapun....
1.66396E+18,@KompasTV Demokrasi dibilang politik dinasti.  Ampun deh....🤕 Itu kan yang milih Rakyat.   Puskapol UI ini sepertinya simpatisan PKS nih...  Atau pembenci keluarganya Jokowi.
1.65806E+18,@bung_madin Politik dinasti salah siapa jadinya? Yg milih mereka kan rakyat nya sendiri
1.65698E+18,@bonjurno31 @bengben78051813 @gibran_tweet Kalo goblok jangan diumbar
1.65542E+18,@tommymks @Gus_Raharjo Dinasti politik apa dah
1.65337E+18,@bung_madin Ya sekarang yg milih siapa min... Kan orang orang Banten yg coblos mereka2 orang.. kecuali ada calon diluar kluarga mereka yg suara nya dikerjai nah itu yg masalah.. sekarang klo Banten gk maju krna politik dinasti yg milih ya rakyat bantennya
1.65278E+18,@bung_madin Yg bikin dinasti politik itu krn rakyat nya yg milih. Jng salahkan yg terpilih.kalonrakyat menolak mk tdknada dinasti itu.
1.64713E+18,@dirhalamsyah @chyntiaaasari @Bambang77197468 nah ini jugaaaa😆 atas nya begitu rakyat nya pun milih yang ngasih amplop dan besar
1.63815E+18,@plandiahastaken @Tokopedika @PartaiSocmed Politik dinasti?  Setiap WNI berhak utk maju pilkada Rakyat suka
1.62792E+18,@Janganndidenger @soccatton Lah kenapa bingung sih. Politik dinasti bukannya udah dicontohkan dr lini teratas
1.6227E+18,@BismaPancasona @TsamaraDKI Terus kenapa? Apa hubungannya ama Politik dinasti?! G pinter2 y
1.62097E+18,@bachrum_achmadi Taruh otak pada otak pda tempty jgn di pantat biar bisa berpikir waras.politik dinasti yg milih yg berkuasa langsung.ini kan yg mlih rakyt 
1.61993E+18,@abu_waras Ngaku muslim tapi tiap hari kerjaannya bikin fitnah 
1.61961E+18,@bachrum_achmadi Sekarang emang kalian gak teriak dinasti politik???  AHY gagal emang rakyat gak milih karena dipandang gak mampu &amp  hedon... Kenapa muncung kau jd kyk tai pitek?  Gerombolan kau bani Kadroen pe'ak 😂😂😂👎👎👎🤮🤮🤮
1.61932E+18,@agis_official @msaid_didu Goblog klo dbilang politik dinasti... Sangat tolol... Otaknya kotor juga pikirannya bebel... Yg milih rakyat kok ... Bodoh serta memalukan otakmu.
1.61919E+18,Dinasti Jokowi itu anak-mantu masuk politik dan bertarung di Pilkada
1.56493E+18,@bachrum_achmadi Politik dinasti SBY bukan dulu saja
1.52599E+18,@_ekokuntadhi Walaupun Politik Dinasti..yg milih juga rakyat..
1.42331E+18,@KakekHalal Lah merusak pemandangan sapa juga yg mau milih puan politisi dinasti
1.37531E+18,@BangMan75921199 @RikyAbimanyu @RamliRizal Apapun ngelesnya
1.36728E+18,Menurut saya dinasti politik gk masalah yg milih rakyat.langsung kalau dinasti atut itu menguasai semua lini bisnis proyek dari bapak anak isteri bahkan seluruh keluarganya. Kalau JKW lihat saja  kinerjanya ini kan baru mulai..jngn buat opini perbandingan..
1.35582E+18,@campusteast @emilsalim2010 Wkwkwk dinasti politik..letak dinasti politik  nya di mana yaa?..mereka kan yg milih rakyat nya kok
1.3373E+18,pada repot bahas politik dinasti sampe ga sadar kalo yang milih itu rakyat langsung.
1.33729E+18,Dinasti politik
1.33722E+18,@4Y4NKZ @CEMpl0k Politik Dinasti tu klo Pak Jokowi berhenti jadi presiden
1.33721E+18,@kompascom Dinasti politik gmna pas ampas
1.33718E+18,@niryoyo Klu rakyat peduli mrk gak akan milih calon dr dinasti politik
1.33712E+18,@aimrod Padahal pendapat soal politik dinasti juga subjektif
1.33699E+18,Dinasti Pemerintahan  Halal mergo seng milih rakyat secara langsung dan sah.  Kwi ra ono masalah e.   Masalah e neng proses kampanye dan fasilitas  Gonaku wae ndug sekilo iso go serangan fajar 🤭🤭  Yakin rakyat masih bisa memilih sendiri tanpa money politik?
1.33696E+18,Dinasti politik itu terjadi dalam kerajaan biasanya....lha ini pemilu dan lgsung oleh rakyat....ingat rakyat yang milih...bukan penguasa...  Terus dinastinya dimana coba....mari kita pikir pke otak yg bener dan kepala dingin.....
1.33691E+18,@bintangemon Politik dinasti atau apa pun itu tdk menyalahi aturan tergantung rakyat mau milih paslon dri keluarga sana atau sini itu bagian dri demokrasi.Di Amerika negara demokrasi tertua masih bnyk politik dinasti contohnya keluarga Bush yg nguasai Tex
1.33691E+18,@RachlanNashidik Politikus bodoh ini ga paham apa arti demokrasi dan dinasti politik
1.33686E+18,@a7ibayu disitu yang dilarang ikut proyek pemerintah om
1.33661E+18,@ayu_gie2008 @adearmando1 iri bilang drunn yg milih rakyat kok politik dinasti tolol lo emang ga ada lawan 🤣🤣
1.33586E+18,@mazzini_gsp @tempodotco Tinggal masy yang menentukan mau milih siapa. Kalo suka kerjanya dipilih kalo engga ya engga. Dinasti Politik ga cuma salah Parpol atau mereka calon wakil rakyat. Tapi ada salah masy yang memilih dan ga mau maju jadi wakil rakyat 
1.33578E+18,@detikcom Kalo orang bilang di nasti politik ambil kaca pak sebeye . Kenpa ahaye ga masuk dki 1. Dimana coba . Rakyat yang milih kok dinasti. Mikiiiiiirrrr...... kadroooooonnnnn...
1.31347E+18,Semua balik ke rakyat mau milih atau ga. Kalo ga ada rakyat yg milih terus tbtb jadi ya ini emang patut dipertanyakan
1.31323E+18,@Bebe_Rider @ellmoyyy @gabusrangers @okkymadasari Mrk mengira Politik Dinasti versi mereka ga melibatkan partisipasi rakyat sbg konstituen 😄.  Biar bininya presiden pun mengajukam diri buat gantiin klo ga ada yg milih ya Percuma
1.30905E+18,@yunaidi_indra @Fahrihamzah Dalam sistem demokrasi gak ada dinasti politik om. Yang milih rakyat. Bukan cuma bapaknya
1.30219E+18,Dinasti politik di sisi lain adalah keniscayaan. Modal sosial itu diturunkan melalui keluarga. Tapi mereka memperoleh jabatan publik bukan berdasarkan penunjukkan. Yang milih tetap rakyat. Bukan bapaknya. Masalahnya di mana?
1.30188E+18,@Gus_Raharjo Calon presiden 2024 dari pdip dan calon walikota solo 2020 pasti menang opo meneh solo kandang banteng
1.29155E+18,Yg pasti loe yg Goblok!! Emang loe ngerti ga apa itu Dinasti Politik?? Ini Demokratis yg milih rakyat!!
1.28896E+18,Politik dinasti atau regenerasi?  Sebenernya mau mereka2 yang maju juga gak masalah
1.28884E+18,@PartaiSocmed Selama rakyatnya ga bener
1.2877E+18,Bagi urang
1.28767E+18,@PolitrikBelajar dinasti politik di negara demokrasi itu berarti cuma fiktif aja ya berarti
1.28707E+18,@ustadtengkuzul Kenapa sinis dgn politik dinasti di amerika biasa saja dgn dinasti Kennedy
1.28692E+18,"@ardicandaa Klu saya pribadi tdk sependapat Mas Gibran Solo"""
1.28541E+18,@kompasiana Kenapa ngga sekalian masukin Gibran ma Kaesang jadi Menteri? toh itu prerogatif Presiden...  Kenapa hrs milih jalan yg sulit lewat pemilu daerah minta suara rakyat Solo dulu bwat majuin karier politik Gibran?  Itu yg ente maksud sbg politik Di
1.28467E+18,@CongPadi @msaid_didu Nah
1.28432E+18,@RamliRizal Emang kalau rakyat yg milih masuk kategori politik dinasti ya??? Kalau boleh ngasih saran pk RR jd menantu pk jokowi aja!!! Kan lumayan bs ditunjuk lngsng jd RT
1.28431E+18,@kurawa Menurutku itu bukan dinasti politik beda krn yg milih rakyat
1.28415E+18,@The_Jaksh @MardaniAliSera Yaudah tinggal rakyat gausah milih gibran
