full_text,Sentiment
"['isu', 'dinasti', 'politik', 'trah', 'presiden', 'jokowi', 'cuat']",Neutral
"['politik', 'dinasti', 'milih', 'rakyat']",Neutral
"['prabowo', 'cinta', 'rakyat', 'isu', 'dinasti', 'politik', 'trah', 'presiden', 'jokowi', 'cuat']",Positive
"['pilwako', 'solo']",Neutral
"['politik', 'dinasti', 'milu']",Neutral
"['selamat', 'kompetisi', 'mase', 'tweet', 'gasuka', 'tinggal', 'gausah', 'pilih', 'menang', 'politik', 'dinasti', 'rakyat', 'langsung', 'milih', 'woles', 'gausah', 'kbakaran', 'jenggot']",Positive
"['politik', 'dinasti', 'gimane', 'milih', 'ttp', 'rakyat', 'koq']",Neutral
"['politik', 'dinasti', 'politik', 'raja', 'pilih', 'raja', 'ganti', 'jg', 'raja', 'pilitik', 'dinasti', 'banten', 'milih', 'rakyat', 'sengsara', 'enak', 'rakyat', 'ngga', 'suka', 'ngga', 'pilih', 'repot', 'hujat', 'karna', 'bersebrangan', 'takut', 'kalah']",Negative
"['yup', 'kaesang', 'milih', 'presiden', 'bs', 'dinasti', 'politik', 'masyarat', 'milih', 'kayak', 'presiden', 'ngajuin', 'partai', 'tp', 'pilih', 'rakyat', 'ngga', 'presiden']",Positive
"['tweet', 'juang', 'kawan', 'milih', 'rakyat', 'lo', 'paham', 'politik', 'dinasti', 'nepotisme', 'nepotisme', 'iya', 'politik', 'dinasti', 'ngga', 'bacot', 'lapor', 'modal', 'fr']",Positive
"['politik', 'dinasti', 'era', 'pilih', 'langsung', 'milih', 'rakyat']",Negative
"['waras', 'kk', 'jg', 'udah', 'beda']",Positive
['nyalahin'],Positive
"['kn', 'milih', 'rakyatapa', 'salahnyajmn', 'pk', 'harto', 'milih', 'orang', 'dalamitu', 'nama', 'dinasti', 'politik']",Negative
"['dinasti', 'politik', 'milih', 'rakyat', 'langsung', 'kokg', 'lembaga', 'survei', 'baser', 'beras', 'raskin', 'sewot', 'kemarin', 'pas', 'gibran', 'rencana', 'nyalon', 'cawalkottidur', 'kah', 'kaliankok', 'koar']",Positive
"['politik', 'dinasti', 'milih', 'rakyat']",Neutral
"['cawapres', 'udah', 'politik', 'dinasti']",Neutral
"['nusaena', 'tweet', 'rubah', 'syarat']",Neutral
"['emang', 'guoblok', 'milih', 'rakyat', 'nentuin', 'rakyat', 'ngambil', 'putus', 'rakyat', 'gonggong', 'dinasti', 'politik', 'guoblok']",Neutral
"['politik', 'dinasti', 'sah', 'hukum', 'tp', 'cacat', 'logika', 'bayang', 'ratus', 'juta', 'rakyat', 'indonesia', 'paksa', 'milih']",Negative
"['bodoh', 'gonggong', 'dinasti', 'politik', 'milih', 'rakyat', 'diwariskandinasti', 'politik', 'tggl', 'pilih', 'guoblok', 'gonggong', 'dinasti', 'politik']",Negative
"['bohong', 'redacted', 'ttg', 'politik', 'dinasti', 'nentuin', 'calon', 'rakyat', 'nentuin', 'popularitas', 'proses', 'organik', 'suruh', 'milih', 'dipilihin', 'parpol', 'sistem', 'kaderisasi', 'rusak']",Positive
"['politik', 'dinasti', 'milih', 'rakyat']",Neutral
"['heran', 'orang', 'heboh', 'politik', 'dinasti']",Positive
"['dinasti', 'politik', 'putus', 'mk', 'contoh', 'indonesia', 'coba', 'lihat', 'parpol', 'kepala', 'daerah', 'ngga', 'ribut']",Positive
"['bravob', 'lioness', 'gylberth', 'tp', 'om', 'elektabilitas', 'msh', 'kejar', 'ngga', 'prab', 'milih', 'gibran', 'promosi', 'bpknya']",Positive
"['politik', 'dinasti', 'rakyat', 'milihnya', 'rakyat', 'ngga', 'milih', 'ngga', 'pilih', 'anakcucumenantu', 'orang', 'lagipernah', 'kuasa']",Neutral
"['bejir', 'politik', 'dinasti', 'pa', 'jokowi', 'milih', 'langsung', 'anakny', 'jabat']",Negative
"['milih', 'rakyat', 'dinasti', 'politik']",Neutral
"['politik', 'dinasti', 'cila', 'sekrang', 'era', 'demokrasi', 'og', 'ngomong', 'politik', 'dinasti', 'mekanisme', 'pilih', 'rakyat', 'gk', 'milih', 'monggo', 'milih', 'monggo', 'gitu']",Positive
"['sopo', 'milih']",Neutral
"['lolos', 'putus', 'mk']",Neutral
"['ngga', 'tuju', 'politik', 'dinasti']",Negative
"['gua', 'udah', 'pilpres', 'curang', 'hasil', 'polemik', 'mk', 'elektabilitas', 'sangkut', 'jeblok', 'masayarakat', 'geram', 'liat', 'politik', 'dinasti']",Negative
"['orang', 'bodoh', 'dinasti', 'politik']",Negative
"['mreka', 'politik', 'dinasti', 'nggk', 'milih', 'rakyat', 'langsung']",Neutral
"['politik', 'dinasti']",Neutral
"['tweet', 'milih', 'tetep', 'rakyat', 'politik', 'dinasti']",Neutral
"['dinasti', 'demokrasi']",Neutral
"['milih', 'nganu', 'jr']",Neutral
"['tweet', 'pas', 'dinasti', 'politik', 'bela']",Neutral
"['hasil', 'demokrasi', 'bkn', 'dinasti', 'politik']",Neutral
"['tweet', 'politik', 'dinasti', 'anj', 'wkwk']",Neutral
"['politik', 'dinasti', 'tahap', 'gagal', 'mk']",Negative
"['bacot', 'kwkwwk', 'sakit', 'hati', 'lu']",Negative
"['politik', 'dinasti']",Neutral
"['gabisa', 'politik', 'dinasti', 'rakyat', 'milih', 'argumentasi', 'tolol', 'ala', 'buzzer', 'gin', 'mas', 'ae', 'dipake']",Negative
"['menghianati', 'framing', 'politik', 'dinasti']",Negative
"['dinasti', 'politik', 'ngga', 'rakyat', 'milih', 'susah']",Negative
"['milu', 'pilih', 'langsung', 'rakyat', 'cuman', 'bs', 'pilih', 'msh', 'oon', 'dinasti', 'politik', 'emang', 'milih', 'cmn', 'dinasti', 'politik', 'sj', 'rkyt', 'milih', 'dish', 'duit', 'dll', 'tum', 'juang', 'ri']",Positive
"['politik', 'dinasti', 'bahaya', 'milih', 'rakyat']",Negative
"['ngomong', 'dinasti', 'politik', 'tp', 'ngga', 'paham', 'fakta']",Neutral
"['rakyat', 'mayoritas', 'milih', 'presiden']",Neutral
"['udah', 'rusak', 'demokrasi', 'nkri', 'era', 'skrg']",Negative
['sajak'],Positive
"['sajak', 'lu', 'tuju', 'hak', 'elu', 'tp', 'gibran']",Negative
"['rakyat', 'cerdas', 'bkal', 'pilih', 'prabowo', 'gibran', 'knpa']",Positive
"['politik', 'dinasti', 'peler', 'lu', 'koreng', 'knp', 'ngga', 'lu', 'hoax', 'mesin', 'kpu', 'pilkada', 'njing', 'nyali', 'lu', 'ciut', 'nyalahin', 'rakyat', 'solo']",Negative
"['hilang', 'akal', 'sehat', 'rakyat', 'nkri', 'skrg', 'milih', 'calon', 'politik', 'dinastikarbitan']",Negative
"['politik', 'dinasti', 'milih', 'rakyat', 'sederhana']",Neutral
"['lihat', 'dinasti', 'politik', 'dr', 'jaman', 'dinasti', 'politik', 'negatif', 'cari', 'untung', 'dr', 'uang', 'rakyat', 'positif', 'jalan', 'program', 'lumayan', 'terobos', 'lgpun', 'milih', 'lgs']",Positive
"['nakula', 'rakyat', 'milih', 'salah', 'dinasti', 'politik', 'rakyat']",Positive
"['nyapres', 'prabowo']",Neutral
"['dinasti', 'politik', 'sanak', 'sodaranya', 'angkat', 'pilih']",Neutral
"['mereke', 'pake', 'sk', 'presiden', 'nama', 'politik', 'dinasti', 'nepotisme', 'lha', 'bobi']",Neutral
"['anggap', 'politik', 'dinasti', 'pilih', 'donk', 'rakyat', 'mayoritas', 'milih', 'jg', 'anggap', 'politik', 'dinasti', 'rakyat', 'anggap', 'anggap', 'politik', 'dinasti', 'hrsnya', 'kritik', 'dpr', 'mandul', 'awas', 'perintah']",Negative
"['hasibuan', 'blok', 'milih', 'rakyat', 'nie', 'orang', 'ngga', 'bedain', 'oplas', 'ama', 'digebukin']",Positive
"['tweet', 'ngatain', 'dinasti', 'politik', 'asli', 'salah']",Negative
"['hijau', 'beda', 'dinasti', 'politik', 'kayak', 'tum', 'partai', 'nunjuk', 'anak', 'tum', 'walikota', 'milih', 'rakyat', 'presiden', 'nunjuk', 'anak', 'anak', 'walkot', 'milih', 'rakyat', 'presiden', 'mil']",Positive
"['sutanto', 'pikir', 'usang', 'dinasti', 'poltik', 'jaman', 'kuno', 'bangsa', 'negara', 'tpi', 'jaman', 'skrng', 'beda', 'dinasti', 'politik', 'ngga', 'bsa', 'kerja', 'ngga', 'hasil', 'rakyat', 'ngga', 'milih', 'ayo', 'lapang']",Negative
"['ah', 'elah', 'bajer', 'partai', 'penyefonk', 'jokowi', 'antitesis', 'dinasti', 'politik']",Positive
"['marm', 'ngga', 'tu', 'khianatmakanya', 'partai', 'dinasti', 'politik', 'rakyat', 'milih', 'ngga', 'gantung', 'partai', 'lin']",Positive
"['jaman', 'now', 'politik', 'dinastilawong', 'milih', 'rakyatya', 'suka', 'rakyatpiye', 'to', 'kowekie']",Positive
"['guoblog', 'sak', 'emak', 'buapaknya', 'mampus', 'dinasti', 'politik', 'orang', 'tua', 'nunjuk', 'langsung', 'proses', 'pilih', 'rakyatwarga']",Negative
"['chotimah', 'rakyat', 'milih', 'sodor', 'partai', 'coy', 'btw', 'luas', 'otak', 'dinasti', 'ala', 'raja', 'sempit', 'paham', 'kaya', 'gitu', 'ngga', 'kena', 'politik', 'dinasti', 'faham']",Positive
"['emang', 'gibran', 'tommy', 'angkat', 'langsung', 'presiden', 'jokowi', 'rakyat', 'milih', 'percaya', 'dinasti', 'politik']",Positive
"['sutanto', 'dinasti', 'politik', 'daerah', 'contoh', 'atut', 'banten']",Positive
"['sutanto', 'bener']",Positive
"['nyalon', 'silah', 'mas', 'milih', 'depok', 'aman', 'toleran']",Positive
"['zainal', 'sing', 'panik', 'sopo', 'silah', 'kaesang', 'nyalon', 'walikota', 'depok', 'milih', 'rakyat', 'jabar', 'depok', 'makmur']",Positive
"['jabar', 'aman', 'mas']",Positive
"['albinsaid', 'dinasti', 'politik', 'milih', 'rakyat', 'koq', 'gk', 'suka', 'pilih', 'dr', 'dinasti']",Negative
"['politik', 'orba', 'hehehhehehhe', 'insan', 'qualifikasi', 'bukti', 'pilih', 'rakyat', 'pilih']",Neutral
"['iya', 'politik', 'dinasti', 'era', 'skrg', 'demokrasi', 'orba', 'raja', 'gantung', 'rakyat', 'cerdas', 'bodoh']",Positive
"['lantas', 'rusak', 'demokrasi', 'langgar']",Negative
"['gilir', 'banten', 'dinasti', 'politik']",Neutral
"['milih', 'rakyat', 'ramlirizal']",Neutral
"['anak', 'mantan', 'disamain', 'sm', 'bkuasa', 'ar', 'dinasti', 'politik']",Positive
"['bibit', 'dinasti', 'politik', 'semai', 'partai', 'demokrat', 'kuasa', 'bahaya', 'tunggu', 'rakyat', 'milih', 'gk', 'rakyat', 'milih', 'sila']",Negative
"['dasar', 'tulis', 'bloon', 'politik', 'dinasti', 'tu', 'anak', 'keluarga', 'presiden', 'langsung', 'presiden', 'duduk', 'jabat', 'perintah', 'pilkada', 'nama', 'milih', 'rakyat', 'fitnah', 'lu', 'tulis']",Negative
"['kepala', 'daerah', 'dinasti', 'politik', 'pilih', 'rakyat', 'kl', 'rakyat', 'ngga', 'suka', 'ngga', 'milih', 'beda', 'menteri']",Negative
"['dinasti', 'politik', 'gimana', 'milih', 'rakyattrus', 'menang', 'engga', 'pake', 'jual', 'agama', 'jual', 'ayat', 'mayat', 'hahaha']",Positive
"['politik', 'dinasti', 'jokowi', 'kepala', 'negara', 'anak', 'perdana', 'menteri', 'anak', 'gubernur', 'keluarga', 'nunjuk', 'kepala', 'negara', 'daerah', 'rakyat', 'milih', 'dinasti']",Neutral
"['hary', 'parpol']",Positive
"['gibran', 'politik', 'dinasti']",Neutral
"['golong', 'manusia', 'malas', 'berfikir', 'ngga', 'pikir']",Positive
"['jlas', 'min']",Positive
"['klu', 'mw', 'tw', 'dinasti', 'politik']",Neutral
"['gue', 'tuduh', 'dinasti', 'politikya', 'pilih', 'rakyatmau', 'milih', 'ngga']",Positive
"['id', 'ratu', 'atut', 'milih', 'rakyat', 'ttep', 'politik', 'dinasti', 'politik', 'dinasti', 'hasil', 'demokrasi']",Neutral
"['dinasti', 'politik', 'nepotisme', 'demokrasi', 'milih', 'rakyat', 'partai', 'milik', 'keluarga', 'bang']",Positive
"['ikan', 'milih', 'rakyat', 'knpa', 'politik', 'dinasti', 'wkwk', 'mikir', 'drunn']",Neutral
"['wni', 'hak', 'calon', 'pimpin', 'negeri', 'milih', 'rakyat']",Neutral
"['dinasti', 'politik', 'demokrat']",Positive
"['emang', 'gue', 'banten', 'politik', 'dinasti', 'serah', 'rakyat', 'bamtrn', 'mo', 'milih', 'pimpin', 'kek']",Neutral
"['id', 'politik', 'dinasti', 'pilih']",Neutral
"['politik', 'dinasti', 'keluarga', 'kuasa', 'rakyat', 'milih', 'sah', 'konstitusi', 'demokrasi', 'ngga', 'salah', 'takut', 'partai', 'turun', 'turun', 'kuasa', 'maju']",Positive
"['demokrasi', 'politik', 'dinasti', 'ampun', 'deh', 'milih', 'rakyat', 'puskapol', 'ui', 'simpatisan', 'pks', 'benci', 'keluarga', 'jokowi']",Negative
"['madin', 'politik', 'dinasti', 'salah', 'milih', 'rakyat']",Negative
"['tweet', 'goblok', 'umbar']",Negative
"['raharjo', 'dinasti', 'politik', 'dah']",Neutral
"['madin', 'milih', 'min', 'orang', 'orang', 'banten', 'coblos', 'orang', 'kecuali', 'calon', 'kluarga', 'suara', 'kerja', 'banten', 'gk', 'maju', 'krna', 'politik', 'dinasti', 'milih', 'rakyat', 'bantennya']",Positive
"['madin', 'dinasti', 'politik', 'rakyat', 'milih', 'jng', 'salah', 'terpilihkalonrakyat', 'tolak', 'mk', 'tdknada', 'dinasti']",Negative
"['jugaaaa', 'rakyat', 'milih', 'ngasih', 'amplop']",Positive
"['politik', 'dinasti', 'wni', 'hak', 'maju', 'pilkada', 'rakyat', 'suka']",Positive
"['bingung', 'politik', 'dinasti', 'udah', 'contoh', 'dr', 'lini']",Negative
"['hubung', 'ama', 'politik', 'dinasti', 'pinter']",Positive
"['achmadi', 'taruh', 'otak', 'otak', 'pda', 'tempty', 'pantat', 'pikir', 'waraspolitik', 'dinasti', 'milih', 'kuasa', 'langsungini', 'mlih', 'rakyt']",Neutral
"['waras', 'ngaku', 'muslim', 'kerja', 'fitnah']",Neutral
"['achmadi', 'emang', 'ngga', 'teriak', 'dinasti', 'politik', 'ahy', 'gagal', 'emang', 'rakyat', 'ngga', 'milih', 'pandang', 'ngga', 'hedon', 'muncung', 'kau', 'kyk', 'tai', 'pitek', 'gerombol', 'kau', 'bani', 'kadroen', 'peak']",Negative
"['official', 'didu', 'goblog', 'dbilang', 'politik', 'dinasti', 'tolol', 'otak', 'kotor', 'pikir', 'bebel', 'milih', 'rakyat', 'bodoh', 'malu', 'otak']",Negative
"['dinasti', 'jokowi', 'anakmantu', 'masuk', 'politik', 'tarung', 'pilkada']",Negative
"['achmadi', 'politik', 'dinasti', 'sby']",Neutral
"['ekokuntadhi', 'politik', 'dinastiyg', 'milih', 'rakyat']",Neutral
"['rusak', 'pandang', 'sapa', 'milih', 'puan', 'politis', 'dinasti']",Neutral
['ngelesnya'],Negative
"['dinasti', 'politik', 'gk', 'milih', 'rakyatlangsung', 'dinasti', 'atut', 'kuasa', 'lini', 'bisnis', 'proyek', 'anak', 'isteri', 'keluarga', 'jkw', 'lihat', 'kerja', 'mulaijngn', 'opini', 'banding']",Positive
"['wkwkwk', 'dinasti', 'politikletak', 'dinasti', 'politik', 'yaamereka', 'milih', 'rakyat']",Positive
"['repot', 'bahas', 'politik', 'dinasti', 'sampe', 'ngga', 'sadar', 'milih', 'rakyat', 'langsung']",Neutral
"['dinasti', 'politik']",Neutral
"['politik', 'dinasti', 'tu', 'jokowi', 'henti', 'presiden']",Negative
"['dinasti', 'politik', 'gmna', 'pas', 'ampas']",Positive
"['klu', 'rakyat', 'peduli', 'mrk', 'ngga', 'milih', 'calon', 'dr', 'dinasti', 'politik']",Positive
"['politik', 'dinasti', 'subjektif']",Neutral
"['dinasti', 'perintah', 'halal', 'mergo', 'seng', 'milih', 'rakyat', 'langsung', 'sah', 'kwi', 'ra', 'ono', 'neng', 'proses', 'kampanye', 'fasilitas', 'gonaku', 'wae', 'ndug', 'kilo', 'iso', 'go', 'serang', 'fajar', 'rakyat', 'pilih', 'money', 'politik']",Negative
"['dinasti', 'politik', 'raja', 'biasanyalha', 'milu', 'lgsung', 'rakyatingat', 'rakyat', 'milihbukan', 'kuasa', 'dinasti', 'cobamari', 'pikir', 'pke', 'otak', 'bener', 'kepala', 'dingin']",Positive
"['politik', 'dinasti', 'salah', 'atur', 'gantung', 'rakyat', 'milih', 'paslon', 'dri', 'keluarga', 'dri', 'demokrasidi', 'amerika', 'negara', 'demokrasi', 'tua', 'bnyk', 'politik', 'dinasti', 'contoh', 'keluarga', 'bush', 'nguasai', 'tex']",Positive
"['politikus', 'bodoh', 'ngga', 'paham', 'arti', 'demokrasi', 'dinasti', 'politik']",Negative
"['situ', 'larang', 'proyek', 'perintah', 'om']",Neutral
"['gie', 'iri', 'drunn', 'milih', 'rakyat', 'politik', 'dinasti', 'tolol', 'lo', 'emang', 'ngga', 'lawan']",Negative
"['gsp', 'tinggal', 'masy', 'milih', 'suka', 'kerja', 'pilih', 'engga', 'engga', 'dinasti', 'politik', 'ngga', 'salah', 'parpol', 'calon', 'wakil', 'rakyat', 'salah', 'masy', 'pilih', 'ngga', 'maju', 'wakil', 'rakyat']",Negative
"['orang', 'nasti', 'politik', 'ambil', 'kaca', 'sebeye', 'kenpa', 'ahaye', 'ngga', 'masuk', 'dki', 'coba', 'rakyat', 'milih', 'dinasti', 'mikiiiiiirrrr', 'kadroooooonnnnn']",Neutral
"['rakyat', 'milih', 'ngga', 'ngga', 'rakyat', 'milih', 'tbtb', 'emang', 'patut']",Positive
"['rider', 'mrk', 'ira', 'politik', 'dinasti', 'versi', 'ngga', 'libat', 'partisipasi', 'rakyat', 'sbg', 'konstituen', 'bini', 'presiden', 'mengajukam', 'gantiin', 'ngga', 'milih']",Negative
"['indra', 'sistem', 'demokrasi', 'ngga', 'dinasti', 'politik', 'om', 'milih', 'rakyat']",Negative
"['dinasti', 'politik', 'sisi', 'niscaya', 'modal', 'sosial', 'turun', 'keluarga', 'jabat', 'publik', 'dasar', 'milih', 'rakyat']",Positive
"['raharjo', 'calon', 'presiden', 'pdip', 'calon', 'walikota', 'solo', 'menang', 'opo', 'teh', 'solo', 'kandang', 'banteng']",Positive
"['goblok', 'emang', 'ngerti', 'ngga', 'dinasti', 'politik', 'demokratis', 'milih', 'rakyat']",Negative
"['politik', 'dinasti', 'regenerasi', 'sebenernya', 'maju', 'ngga']",Positive
"['rakyat', 'ngga', 'bener']",Neutral
['urang'],Neutral
"['dinasti', 'politik', 'negara', 'demokrasi', 'arti', 'fiktif', 'arti']",Neutral
"['sinis', 'politik', 'dinasti', 'amerika', 'dinasti', 'kennedy']",Negative
"['klu', 'pribadi', 'mas', 'gibran', 'solo']",Neutral
"['ngga', 'masukin', 'gibran', 'ma', 'kaesang', 'menteri', 'prerogatif', 'presiden', 'hrs', 'milih', 'jalan', 'sulit', 'milu', 'daerah', 'suara', 'rakyat', 'solo', 'bwat', 'majuin', 'karier', 'politik', 'gibran', 'ente', 'maksud', 'sbg', 'politik']",Negative
['didu'],Negative
"['emang', 'rakyat', 'milih', 'masuk', 'kategori', 'politik', 'dinasti', 'ngasih', 'saran', 'pk', 'rr', 'menantu', 'pk', 'jokowi', 'lumayan', 'bs', 'lngsng']",Positive
"['dinasti', 'politik', 'beda', 'milih', 'rakyat']",Neutral
"['jaksh', 'yaudah', 'tinggal', 'rakyat', 'gausah', 'milih', 'gibran']",Positive
"['dinasti', 'politik', 'pilih', 'walkot', 'pilih', 'langsung', 'rakyat', 'ngga', 'suka', 'tinggal', 'ngga', 'milih']",Negative
"['kuasa', 'dinasti', 'ngapain', 'aj', 'bebas', 'netter', 'opini', 'tp', 'ngga', 'dianggep', 'rakyat', 'klaten', 'gabisa', 'apslain', 'milih', 'mreka', 'tauprnh', 'liatprnh', 'jabat', 'strategi', 'politik', 'ngga', 'pduli', 'opini', 'aplgi', 'kritik']",Negative
"['kuasa', 'dinasti', 'ngapain', 'aj', 'bebas', 'rakyat', 'klaten', 'gabisa', 'apslain', 'milih', 'mreka', 'tauprnh', 'liatprnh', 'jabat', 'strategi', 'politik', 'ngga', 'pduli', 'opini', 'aplgi', 'kritik']",Negative
"['sep', 'jengah', 'politik', 'dinasti', 'edukasi', 'rakyat', 'ngga', 'milihlah', 'butuh', 'biaya', 'mas', 'dr', 'pd', 'duit', 'beli', 'rumah', 'klaten', 'mending', 'kampanye', 'rakyat', 'klaten', 'ngga', 'milih', 'keluarga']",Positive
"['kuasa', 'dinasti', 'ngapain', 'aj', 'bebas', 'netter', 'opini', 'tp', 'ngga', 'dianggep', 'rakyat', 'klaten', 'gabisa', 'apslain', 'milih', 'mreka', 'tauprnh', 'liatprnh', 'jabat', 'strategi', 'politik', 'ngga', 'pduli', 'opini', 'aplgi', 'kritik']",Negative
"['ahola', 'kuasa', 'dinasti', 'ngapain', 'aj', 'bebas', 'netter', 'opini', 'tp', 'ngga', 'dianggep', 'rakyat', 'klaten', 'gabisa', 'apslain', 'milih', 'mreka', 'tauprnh', 'liatprnh', 'jabat', 'strategi', 'politik', 'ngga', 'pduli', 'opini', 'aplgi', 'kritik']",Negative
"['dinasti', 'politik', 'emang', 'kliatan', 'isu', 'sepele', 'hak', 'orang', 'masuk', 'ranah', 'politik', 'anak', 'presiden']",Positive
"['dinasti', 'politik', 'ndasmukalo', 'rakyat', 'ngga', 'milih', 'ngga', 'orde', 'jaman', 'suharto']",Negative
"['milih', 'bkn', 'rakyat', 'langsung', 'bangun', 'dinasti', 'politik', 'drun', 'jaman', 'skrg', 'emang', 'gampang', 'gaet', 'suara', 'rakyat', 'bkn', 'dr', 'kualitas', 'sogok', 'jg', 'blm', 'nyoblos', 'nyogok']",Positive
"['belabelaan', 'emang', 'rakyat', 'gibran', 'hak', 'nyalonin', 'ogah', 'takut', 'terjad', 'dinasti', 'politik', 'rakyat', 'milih', 'poin']",Neutral
"['bukti', 'ahy', 'ngga', 'dinasti', 'politik', 'ngga', 'milih']",Negative
"['dinasti', 'politik', 'jaman', 'raja', 'raja']",Positive
